<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
26/02/21;00:00;2008.0000000;2039.2000000;1987.6000000;2011.4000000;900672
01/03/21;00:00;2017.0000000;2022.2000000;2005.0000000;2013.0000000;207351
02/03/21;00:00;2010.0000000;2031.8000000;1998.0000000;2007.0000000;358293
03/03/21;00:00;2011.0000000;2024.0000000;2001.0000000;2010.0000000;221049
04/03/21;00:00;2016.6000000;2026.6000000;1936.6000000;1938.8000000;663395
05/03/21;00:00;1955.0000000;1955.0000000;1860.0000000;1908.2000000;756607
09/03/21;00:00;1901.8000000;1904.8000000;1860.2000000;1884.0000000;745188
10/03/21;00:00;1884.0000000;1914.6000000;1836.2000000;1851.8000000;797669
11/03/21;00:00;1852.2000000;1871.2000000;1841.2000000;1861.8000000;445134
12/03/21;00:00;1862.0000000;1867.0000000;1805.2000000;1827.0000000;996967
15/03/21;00:00;1825.0000000;1845.0000000;1808.2000000;1834.0000000;671355
16/03/21;00:00;1839.8000000;1840.8000000;1805.2000000;1810.2000000;675473
17/03/21;00:00;1813.0000000;1829.0000000;1800.0000000;1818.8000000;729379
18/03/21;00:00;1820.0000000;1824.0000000;1795.0000000;1804.0000000;646739
19/03/21;00:00;1805.8000000;1813.0000000;1780.4000000;1792.0000000;603077
22/03/21;00:00;1793.0000000;1799.2000000;1782.2000000;1794.2000000;379820
23/03/21;00:00;1790.6000000;1790.6000000;1742.4000000;1749.0000000;707190
24/03/21;00:00;1753.0000000;1763.8000000;1728.6000000;1741.2000000;398988
25/03/21;00:00;1745.2000000;1745.2000000;1700.2000000;1716.0000000;512575
26/03/21;00:00;1713.6000000;1741.4000000;1711.0000000;1732.0000000;431065
29/03/21;00:00;1733.8000000;1771.0000000;1731.2000000;1755.8000000;406811
30/03/21;00:00;1761.0000000;1789.8000000;1738.8000000;1750.0000000;511040
31/03/21;00:00;1750.8000000;1754.0000000;1714.4000000;1738.0000000;582620
01/04/21;00:00;1740.0000000;1759.6000000;1724.8000000;1751.8000000;402634
02/04/21;00:00;1760.0000000;1773.0000000;1750.2000000;1770.2000000;158859
05/04/21;00:00;1764.0000000;1800.0000000;1752.0000000;1790.2000000;254922
06/04/21;00:00;1788.0000000;1796.8000000;1745.6000000;1759.4000000;391742
07/04/21;00:00;1766.2000000;1771.0000000;1736.2000000;1748.0000000;344093
08/04/21;00:00;1748.0000000;1759.0000000;1731.4000000;1743.6000000;246472
09/04/21;00:00;1759.6000000;1759.6000000;1704.2000000;1717.2000000;472162
12/04/21;00:00;1719.8000000;1756.4000000;1714.6000000;1750.2000000;470006
13/04/21;00:00;1751.2000000;1799.0000000;1749.2000000;1787.2000000;511199
14/04/21;00:00;1785.0000000;1825.6000000;1757.6000000;1803.2000000;761943
15/04/21;00:00;1804.8000000;1805.0000000;1750.4000000;1765.0000000;644301
16/04/21;00:00;1769.0000000;1776.6000000;1740.2000000;1750.6000000;407929
19/04/21;00:00;1745.2000000;1755.2000000;1725.0000000;1739.0000000;329420
20/04/21;00:00;1743.2000000;1751.8000000;1701.4000000;1720.0000000;744202
21/04/21;00:00;1715.0000000;1721.6000000;1685.0000000;1695.0000000;803140
22/04/21;00:00;1698.0000000;1743.2000000;1692.6000000;1728.4000000;796544
23/04/21;00:00;1733.4000000;1746.0000000;1710.0000000;1735.2000000;347521
26/04/21;00:00;1739.4000000;1742.4000000;1721.4000000;1731.2000000;192524
27/04/21;00:00;1732.0000000;1748.0000000;1721.0000000;1722.2000000;259865
28/04/21;00:00;1728.8000000;1735.4000000;1703.0000000;1719.6000000;303975
29/04/21;00:00;1726.6000000;1738.8000000;1694.2000000;1707.0000000;492168
30/04/21;00:00;1709.6000000;1714.0000000;1674.4000000;1681.2000000;646024
04/05/21;00:00;1691.0000000;1695.0000000;1652.2000000;1662.8000000;529444
05/05/21;00:00;1666.0000000;1674.8000000;1656.0000000;1663.0000000;347153
06/05/21;00:00;1666.6000000;1666.8000000;1630.0000000;1642.6000000;619984
07/05/21;00:00;1647.0000000;1649.0000000;1621.8000000;1636.8000000;421577
10/05/21;00:00;1640.6000000;1641.2000000;1610.6000000;1613.0000000;308326
11/05/21;00:00;1616.0000000;1617.4000000;1567.6000000;1588.6000000;848005
12/05/21;00:00;1588.6000000;1594.8000000;1551.0000000;1553.0000000;645431
13/05/21;00:00;1553.0000000;1554.6000000;1502.8000000;1505.0000000;1036882
14/05/21;00:00;1511.2000000;1516.6000000;1465.8000000;1516.4000000;942160
17/05/21;00:00;1527.2000000;1532.8000000;1491.0000000;1516.8000000;710691
18/05/21;00:00;1520.8000000;1552.0000000;1509.0000000;1549.2000000;811947
19/05/21;00:00;1550.6000000;1554.2000000;1501.0000000;1517.0000000;526280
20/05/21;00:00;1518.0000000;1520.2000000;1500.2000000;1509.8000000;340911
21/05/21;00:00;1510.0000000;1546.0000000;1500.6000000;1530.6000000;422014
24/05/21;00:00;1530.6000000;1563.8000000;1530.0000000;1562.2000000;321404
25/05/21;00:00;1564.0000000;1573.8000000;1552.0000000;1570.0000000;331201
26/05/21;00:00;1573.6000000;1632.6000000;1572.2000000;1630.2000000;954488
